カテゴリーID,動画ID,製品タイトル,カテゴリー,コンテンツタイトル,コンテンツ概要
EAN-01,EAN0100S,小学校　１〜６年　道徳　「生命と自然」シリーズ　全３タイトル,小学校　空とぶうさぎの誘拐防止　ぼく　いやだよ！,ひろしちゃんの場合,知らないおじさんに「一緒に犬を探して」と声をかけられ、車に乗せられそうになったひろしちゃん。勇気を出して「ぼくいやだよ！」の一言で難を逃れました。誘いの言葉がけの例と不審者に対する防衛策の１例。
EAN-01,EAN0110S,小学校　１〜６年　道徳　「生命と自然」シリーズ　全３タイトル,小学校　空とぶうさぎの誘拐防止　ぼく　いやだよ！,ゆうじちゃんの場合,知らないおばさんに「ぼく、かわいいね」と声をかけられ、車に乗せられそうになったゆうじちゃん。勇気を出して「ぼくいやだよ!」の一言で難を逃れられました。誘いの言葉がけの例と不審者に対する防衛策の１例。
EAN-01,EAN0120S,小学校　１〜６年　道徳　「生命と自然」シリーズ　全３タイトル,小学校　空とぶうさぎの誘拐防止　ぼく　いやだよ！,まさおちゃんの場合,胸の名札で知った名前を呼んで安心させ，お父さんがけがをしたと声がけする不審者。「ぼくいやだよ!」の一言で，難を逃れたまさおちゃん。誘いの言葉がけの例と不審者に対する防衛策の１例。
EAN-01,EAN0130S,小学校　１〜６年　道徳　「生命と自然」シリーズ　全３タイトル,小学校　空とぶうさぎの誘拐防止　ぼく　いやだよ！,けいこちゃんの場合,知らないおじさんから、写真を撮ってあげると声をかけられましたが、「わたしいやだ！」とはっきり言って、難を逃れたけいこちゃん。誘いの言葉がけの例と不審者に対する防衛策の１例。
EAN-01,EAN0140S,小学校　１〜６年　道徳　「生命と自然」シリーズ　全３タイトル,小学校　空とぶうさぎの誘拐防止　ぼく　いやだよ！,まとめ,不審者からの声かけに合った場合の断り方と、その後の対処の基本です。
EDO-SET01-01,EDO0100S,小学校　１〜６年　道徳　「生命と自然」シリーズ　全３タイトル,小学校道徳「生命と自然」　１低学年,しいの木のおか,自然のすばらしさや生命の尊さに気付き､より豊かな心の育成が図れるお話、しいの木のおか(5分30秒)
EDO-SET01-01,EDO0110S,小学校　１〜６年　道徳　「生命と自然」シリーズ　全３タイトル,小学校道徳「生命と自然」　１低学年,たのしかったハイキング,自然のすばらしさや生命の尊さに気付き､より豊かな心の育成が図れるお話、たのしかったハイキング(5分)
EDO-SET01-01,EDO0120S,小学校　１〜６年　道徳　「生命と自然」シリーズ　全３タイトル,小学校道徳「生命と自然」　１低学年,ハムスターのあかちゃん,自然のすばらしさや生命の尊さに気付き､より豊かな心の育成が図れるお話、ハムスターの赤ちゃん(7分)
EDO-SET01-02,EDO0130S,小学校　１〜６年　道徳　「生命と自然」シリーズ　全３タイトル,小学校道徳「生命と自然」　２中学年,ほたるの川,自然のすばらしさや生命の尊さに気付き､より豊かな心の育成が図れるお話、ほたるの川(10分)
EDO-SET01-02,EDO0140S,小学校　１〜６年　道徳　「生命と自然」シリーズ　全３タイトル,小学校道徳「生命と自然」　２中学年,ヒキガエルとロバ,自然のすばらしさや生命の尊さに気付き､より豊かな心の育成が図れるお話、ヒキガエルトロバ(5分)
EDO-SET01-03,EDO0150S,小学校　１〜６年　道徳　「生命と自然」シリーズ　全３タイトル,小学校道徳「生命と自然」　３高学年,あの子があぶない,自然のすばらしさや生命の尊さに気付き､より豊かな心の育成が図れるお話、あの子があぶない(8分)
EDO-SET01-03,EDO0160S,小学校　１〜６年　道徳　「生命と自然」シリーズ　全３タイトル,小学校道徳「生命と自然」　３高学年,祖母のつえ,自然のすばらしさや生命の尊さに気付き､より豊かな心の育成が図れるお話、祖母のつえ(8分)
EFK-SET01-01,EFK0560S,小学校　３～６年　総合　福祉教育シリーズ　全４タイトル,障害者のくらし　どんな生活をしているの？,目の不自由な人のくらし,目の不自由な加藤さんのくらしの様子を見ていきます。日々の情報収集の方法や、特技のピアノ、買い物の様子などを紹介します。(6分35秒)
EFK-SET01-01,EFK0570S,小学校　３～６年　総合　福祉教育シリーズ　全４タイトル,障害者のくらし　どんな生活をしているの？,耳の不自由な人のくらし,耳の不自由な高橋さんの家庭を訪ね、手話での会話や、生活の工夫、買い物の様子などについて見ていきます。(3分48秒)
EFK-SET01-01,EFK0580S,小学校　３～６年　総合　福祉教育シリーズ　全４タイトル,障害者のくらし　どんな生活をしているの？,車椅子を使っている人のくらし,車椅子を使って生活している高橋さんのくらしの様子を紹介します。車椅子で移動しやすくするための工夫や、ヘルパーの人の介護の様子などについて見ていきます。(5分3秒)
